[0.022s] Invoking command in '/home/yzz/219_ws/build/go1_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/yzz/219_ws/build/go1_description -- -j2 -l2
[0.107s] Invoked command in '/home/yzz/219_ws/build/go1_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --build /home/yzz/219_ws/build/go1_description -- -j2 -l2
[0.127s] Invoking command in '/home/yzz/219_ws/build/go1_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/humble /usr/bin/cmake --install /home/yzz/219_ws/build/go1_description
[0.144s] -- Install configuration: ""
[0.146s] -- Execute custom install script
[0.150s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//meshes/calf.dae
[0.150s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//meshes/depthCamera.dae
[0.151s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//meshes/hip.dae
[0.151s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//meshes/thigh.dae
[0.151s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//meshes/thigh_mirror.dae
[0.151s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//meshes/trunk.dae
[0.154s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//meshes/ultraSound.dae
[0.154s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//xacro/const.xacro
[0.155s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//xacro/depthCamera.xacro
[0.156s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//xacro/ft_sensor.xacro
[0.156s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//xacro/gazebo.xacro
[0.157s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//xacro/gazebo_classic.xacro
[0.157s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//xacro/leg.xacro
[0.157s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//xacro/materials.xacro
[0.157s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//xacro/robot.xacro
[0.157s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//xacro/ros2_control.xacro
[0.158s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//xacro/transmission.xacro
[0.158s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//xacro/ultraSound.xacro
[0.159s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//launch/visualize.launch.py
[0.160s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//config/gazebo.yaml
[0.161s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//config/hardware_config.yaml
[0.161s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//config/ocs2/gait.info
[0.161s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//config/ocs2/reference.info
[0.161s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//config/ocs2/task.info
[0.161s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//config/robot_control.yaml
[0.161s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//config/visualize_urdf.rviz
[0.161s] -- Up-to-date symlink: /home/yzz/219_ws/install/go1_description/share/go1_description//urdf/robot.urdf
